样品编号,Sourness_Score,尼古丁,总糖,还原糖,总氮,总钾,总氯,糖碱比,氮碱比,两糖比,两糖差,钾氯比,苹果酸,草酸,柠檬酸,丙二酸,乳酸,棕榈酸,硬脂酸,油酸,亚油酸,绿原酸,莨菪亭,芸香苷,叶黄素,胡萝卜素,茄酮,香叶基丙酮,beta-紫罗兰酮,氧化紫罗兰酮,降茄二酮,3-羟基-β-二氢大马酮,3-氧代-α-紫罗兰醇,巨豆三烯酮,二氢猕猴桃内酯,新植二烯,磷酸,甘油,脯氨酸,尼古丁2,二羟基丙酸,苹果酸2,三羟基丁酸,柠檬酸2,果糖,葡萄糖,肌醇,蔗糖,糠醛,糠醇,5-甲基糠醛,菠萝呋喃酮,麦芽酚,DDMP,γ-巴豆酰内酯,二氢猕猴桃内酯2,γ-丁内酯,苯酚,愈创木酚,邻甲酚,间甲酚,对甲酚,4-乙烯基愈创木酚,"2,6-二甲基苯酚","2,6-二甲氧基苯酚",丁香酚,异丁香酚,2-环戊烯酮,3-甲基-2-环戊烯酮,"2,3-二甲基-2-环戊烯酮",3-乙基-2-环戊烯酮,甲基环戊烯醇酮,乙基环戊烯醇酮,1-茚酮,巨豆三烯酮2,3-羟基-β-二氢大马酮2,3-氧代-α-紫罗兰醇2,乙酸,丙酸,丁酸,异戊酸,3-甲基戊酸,吡咯,乙酰基吡咯,2-吡咯烷酮,吡啶,2-甲基吡啶,3-甲基吡啶,3-乙基吡啶,3-羟基-6-甲基吡啶,"2,3'-联吡啶",尼古丁3,麦司明,尼可他因,2-甲基吡嗪,吲哚,3-甲基吲哚,喹啉,异戊酰胺,新植二烯2,苯甲醇,苯乙醇
K17,3.24,2.30 ,35.10 ,25.98 ,1.90 ,1.69 ,0.17 ,15.26 ,0.83 ,0.74 ,9.12 ,9.94 ,35.5599 ,8.3031 ,4.6054 ,1.8324 ,0.3393 ,1.5720 ,0.2460 ,0.4634 ,0.6965 ,14.0000 ,0.0660 ,14.7380 ,47.0560 ,14.5840 ,0.0556 ,0.0158 ,0.0452 ,0.2518 ,0.2185 ,0.1325 ,1.6908 ,0.2289 ,0.8329 ,33.2877 ,0.2159 ,0.0700 ,0.6046 ,0.9506 ,0.0756 ,1.3078 ,0.2847 ,0.0399 ,6.9034 ,10.6335 ,0.9057 ,7.3441 ,0.223172,0.640066,0.142331,0.126437,0.046033,0.108031,0.024609,0.003238,0.008537,0.138197,0.021095,0.004690,0.008297,0.007260,0.010625,0.002187,0.004786,0.000295,0.001340,0.035299,0.010696,0.142331,0.001841,0.064513,0.013272,0.001326,0.025382,0.004007,0.015231,0.226955,0.070344,0.027124,0.027961,0.001975,0.001357,0.010651,0.006768,0.061709,0.004253,0.009015,0.001005,0.003727,0.033540,5.546399,0.005333,0.003528,0.005569,0.002525,0.001093,0.003891,0.001359,0.055626,0.008502,0.006026
K18,2.11,3.12 ,29.27 ,22.97 ,2.61 ,1.89 ,0.20 ,9.38 ,0.84 ,0.78 ,6.30 ,9.45 ,26.3616 ,6.8107 ,3.1348 ,1.9671 ,0.3688 ,1.3545 ,0.1667 ,0.4927 ,0.8440 ,12.8220 ,0.1590 ,16.3920 ,57.4360 ,21.6060 ,0.0555 ,0.0287 ,0.0514 ,0.2646 ,0.1970 ,0.1370 ,1.7217 ,0.4351 ,0.8902 ,37.3503 ,0.2129 ,0.0720 ,0.8577 ,1.2447 ,0.0769 ,1.4437 ,0.2576 ,0.0621 ,6.1440 ,7.9900 ,0.6252 ,5.0435 ,0.149513,0.409579,0.128067,0.102045,0.031849,0.072276,0.017495,0.002618,0.005507,0.117186,0.024997,0.003820,0.007613,0.006512,0.009195,0.000262,0.006047,0.000404,0.001448,0.028138,0.009440,0.128067,0.001704,0.048872,0.010213,0.001128,0.021412,0.003220,0.013382,0.108624,0.056262,0.025342,0.025558,0.002052,0.001119,0.011738,0.008169,0.068799,0.005266,0.011364,0.000941,0.005610,0.049071,6.134922,0.009048,0.003881,0.008968,0.003642,0.001560,0.003682,0.001677,0.052096,0.007916,0.006581
K3,3.87,1.91 ,32.05 ,25.26 ,1.97 ,1.79 ,0.21 ,16.78 ,1.03 ,0.79 ,6.79 ,8.52 ,35.6155 ,10.0642 ,3.6281 ,2.2367 ,0.2717 ,1.5225 ,0.2221 ,0.7057 ,0.8814 ,12.5950 ,0.1730 ,11.1220 ,59.9030 ,18.3630 ,0.1223 ,0.0179 ,0.0344 ,0.5772 ,0.0415 ,0.1832 ,6.6707 ,0.2820 ,0.9814 ,56.5404 ,0.2255 ,0.0765 ,0.5198 ,0.6851 ,0.0658 ,1.3528 ,0.3807 ,0.0277 ,6.2207 ,9.0226 ,1.0068 ,5.0815 ,0.260093,0.656175,0.165417,0.143004,0.052242,0.146549,0.029077,0.003581,0.012599,0.169586,0.033460,0.006818,0.012042,0.010215,0.016227,0.003120,0.007351,0.000510,0.002534,0.040932,0.011721,0.165440,0.001428,0.072090,0.017485,0.001788,0.030429,0.004410,0.019177,0.215338,0.070326,0.031194,0.030338,0.002640,0.003740,0.013823,0.009236,0.061886,0.004537,0.008946,0.001077,0.005837,0.026576,5.373948,0.007390,0.003515,0.008577,0.005208,0.002025,0.004167,0.001814,0.053693,0.009959,0.008568
K4,2.16,2.78 ,26.06 ,20.28 ,2.26 ,1.49 ,0.29 ,9.37 ,0.81 ,0.78 ,5.78 ,5.14 ,39.7111 ,11.1715 ,4.2192 ,3.0228 ,0.2982 ,1.2013 ,0.1836 ,0.4009 ,0.7953 ,12.2740 ,0.1970 ,13.3150 ,49.9930 ,17.6030 ,0.0919 ,0.0661 ,0.0469 ,0.3389 ,0.3732 ,0.1607 ,1.6199 ,0.4308 ,0.8743 ,40.2544 ,0.2267 ,0.0796 ,0.7709 ,1.2123 ,0.0621 ,1.5106 ,0.3555 ,0.0362 ,6.0500 ,7.8046 ,1.0402 ,4.9505 ,0.132693,0.430583,0.097978,0.112754,0.040627,0.111475,0.026270,0.003517,0.006071,0.124763,0.027847,0.004501,0.009085,0.007971,0.013747,0.003097,0.011305,0.000781,0.003596,0.030341,0.008537,0.098004,0.001541,0.058193,0.012766,0.001621,0.031663,0.005170,0.019313,0.236254,0.046691,0.023544,0.024392,0.002537,0.001439,0.013062,0.010169,0.060287,0.004464,0.010232,0.000945,0.006551,0.062214,6.752805,0.012934,0.004513,0.010842,0.003676,0.001531,0.004208,0.001695,0.063647,0.011292,0.008630
K5,3.21,2.18 ,33.10 ,24.64 ,1.91 ,1.68 ,0.17 ,15.18 ,0.88 ,0.74 ,8.46 ,9.88 ,42.5684 ,8.3631 ,4.0577 ,1.6519 ,0.2868 ,1.6842 ,0.1985 ,0.5402 ,0.8384 ,18.2940 ,0.1110 ,10.8600 ,45.2060 ,14.0760 ,0.0466 ,0.0160 ,0.0397 ,0.2056 ,0.2261 ,0.1563 ,1.6623 ,0.2372 ,0.6856 ,30.7771 ,0.2459 ,0.0681 ,0.5048 ,0.8657 ,0.0714 ,1.5988 ,0.3400 ,0.0369 ,6.3352 ,9.9594 ,0.9326 ,6.4305 ,0.153411,0.824864,0.102894,0.083072,0.033005,0.092689,0.025961,0.002939,0.011275,0.110978,0.016120,0.003390,0.004669,0.004586,0.010959,0.000661,0.003386,0.000142,0.001234,0.031302,0.007738,0.102894,0.001290,0.045341,0.009085,0.000893,0.015170,0.003617,0.013872,0.204772,0.055421,0.020181,0.015334,0.042162,0.000444,0.009019,0.003359,0.046348,0.004818,0.006744,0.000948,0.002916,0.020215,4.276091,0.009623,0.003507,0.008285,0.001639,0.000631,0.003298,0.001270,0.047267,0.005876,0.006491
K6,1.93,3.50 ,26.92 ,22.01 ,2.25 ,1.23 ,0.23 ,7.69 ,0.64 ,0.82 ,4.91 ,5.35 ,40.8513 ,11.0894 ,4.7481 ,2.4368 ,0.2896 ,1.0794 ,0.1665 ,0.3739 ,0.6545 ,15.2280 ,0.1450 ,14.2880 ,47.5990 ,16.6050 ,0.0980 ,0.0219 ,0.0486 ,0.3383 ,0.3581 ,0.1802 ,2.3779 ,0.3276 ,0.8184 ,37.1181 ,0.1883 ,0.0769 ,0.7607 ,1.4829 ,0.0572 ,1.3958 ,0.3152 ,0.0384 ,6.2269 ,8.6779 ,0.8155 ,3.8613 ,0.194735,0.862472,0.160290,0.087567,0.047378,0.106096,0.029981,0.002082,0.010311,0.128004,0.025985,0.003971,0.006618,0.005256,0.013997,0.000780,0.005895,0.000371,0.002572,0.034109,0.008061,0.160290,0.001363,0.053605,0.009904,0.001234,0.023193,0.004595,0.018226,0.250475,0.062605,0.026181,0.014742,0.036850,0.001550,0.011699,0.004597,0.061528,0.005292,0.012676,0.001227,0.004045,0.036057,6.167220,0.015345,0.005376,0.011587,0.002934,0.001131,0.005174,0.001670,0.075829,0.008722,0.007901
K7,3.12,2.06 ,32.34 ,24.90 ,1.79 ,1.74 ,0.27 ,15.70 ,0.87 ,0.77 ,7.44 ,6.44 ,55.0400 ,9.7100 ,5.1400 ,2.1000 ,0.4100 ,1.8600 ,0.3700 ,0.5400 ,0.8800 ,14.4630 ,0.1130 ,9.6680 ,42.3400 ,44.3050 ,0.0359 ,0.0103 ,0.0349 ,0.1673 ,0.1910 ,0.1404 ,1.8266 ,0.2269 ,0.3318 ,38.5386 ,0.2370 ,0.0798 ,0.5759 ,0.9288 ,0.0600 ,1.5924 ,0.3559 ,0.0324 ,7.2193 ,11.6605 ,1.0833 ,6.1428 ,0.216658,0.666229,0.122758,0.109569,0.047627,0.101304,0.030167,0.002932,0.009753,0.134479,0.018125,0.004886,0.008213,0.006988,0.012652,0.002435,0.005049,0.000321,0.001582,0.039434,0.010058,0.122758,0.001836,0.065222,0.013839,0.001289,0.025345,0.004914,0.020423,0.251656,0.043883,0.017135,0.016790,0.029473,0.001147,0.010061,0.007885,0.063115,0.004632,0.009155,0.001070,0.004327,0.026696,5.123409,0.007511,0.003604,0.005163,0.002248,0.001153,0.003755,0.001509,0.055721,0.008439,0.007021
K8,2.06,4.01 ,24.15 ,20.34 ,2.30 ,1.23 ,0.36 ,6.02 ,0.57 ,0.84 ,3.81 ,3.42 ,60.9900 ,10.9100 ,7.3400 ,3.3000 ,0.4000 ,1.3100 ,0.2800 ,0.3500 ,0.9000 ,10.4480 ,0.1720 ,11.6120 ,34.2440 ,35.8160 ,0.0445 ,0.0061 ,0.0345 ,0.1624 ,0.1940 ,0.1264 ,1.7803 ,0.1454 ,0.2906 ,37.0184 ,0.2491 ,0.0786 ,0.6629 ,1.7808 ,0.0629 ,1.6696 ,0.3357 ,0.0364 ,6.3109 ,8.0953 ,0.9209 ,2.9974 ,0.184334,0.504557,0.136002,0.089304,0.041591,0.072940,0.027178,0.003099,0.006433,0.098468,0.023447,0.003315,0.006373,0.005470,0.011822,0.003837,0.008375,0.000458,0.002415,0.025379,0.006382,0.136021,0.001051,0.049359,0.008929,0.000986,0.029070,0.005262,0.022630,0.206816,0.051227,0.022495,0.022191,0.003385,0.001546,0.011058,0.008454,0.056699,0.002791,0.008252,0.000727,0.005279,0.053506,7.566753,0.012160,0.004367,0.005999,0.003099,0.000920,0.004405,0.001217,0.066548,0.012241,0.010742
K19,1.42,2.17 ,23.11 ,18.68 ,1.95 ,0.74 ,1.18 ,10.65 ,0.90 ,0.81 ,4.43 ,0.63 ,46.7433 ,9.2649 ,5.4360 ,1.9630 ,0.3575 ,1.7459 ,0.2863 ,0.5339 ,0.8091 ,11.7420 ,0.0959 ,11.3521 ,46.6796 ,19.9938 ,0.0654 ,0.0178 ,0.0359 ,0.2644 ,0.2045 ,0.1525 ,3.9979 ,0.2251 ,0.8425 ,28.2851 ,0.2477 ,0.0991 ,0.6241 ,0.6801 ,0.0711 ,1.1708 ,0.2964 ,0.0489 ,5.8753 ,9.0006 ,0.9812 ,4.9945 ,0.322728,0.874522,0.265626,0.104084,0.120760,0.059233,0.014196,0.002277,0.029842,0.287893,0.031566,0.009594,0.000001,0.000001,0.064265,0.000001,0.016691,0.000001,0.000001,0.062960,0.014734,0.004534,0.002125,0.106822,0.013030,0.000001,0.052703,0.014134,0.165153,0.648533,0.073950,0.029578,0.029209,0.008165,0.001670,0.025906,0.000001,0.072867,0.007427,0.014431,0.000926,0.011472,0.054406,6.550634,0.034538,0.000001,0.013993,0.008217,0.000001,0.000001,0.000001,0.142170,0.034142,0.034863
K20,0.35,2.73 ,22.19 ,18.13 ,2.29 ,0.51 ,1.33 ,8.13 ,0.84 ,0.82 ,4.06 ,0.38 ,53.0449 ,12.9028 ,6.5882 ,3.2709 ,0.4449 ,1.7887 ,0.3131 ,0.5843 ,1.0282 ,16.6286 ,0.2026 ,16.7243 ,50.1487 ,33.2671 ,0.0753 ,0.0247 ,0.0495 ,0.2931 ,0.3164 ,0.1895 ,2.1363 ,0.3031 ,0.7660 ,41.0284 ,0.3074 ,0.0913 ,0.8161 ,1.5097 ,0.0832 ,1.7039 ,0.3811 ,0.0563 ,8.3372 ,11.8665 ,1.1950 ,5.8134 ,0.213731,0.744230,0.227343,0.165664,0.094891,0.068643,0.054082,0.002538,0.021973,0.263119,0.037196,0.009803,0.000001,0.000001,0.045080,0.000001,0.003081,0.000001,0.000001,0.047078,0.011618,0.004398,0.002010,0.094186,0.014988,0.000001,0.056084,0.013346,0.137436,0.686546,0.100756,0.037488,0.041095,0.016057,0.003171,0.034728,0.000001,0.078690,0.006699,0.012726,0.000820,0.023758,0.103823,8.413336,0.066281,0.000001,0.020649,0.014343,0.000001,0.000001,0.000001,0.156449,0.026886,0.042229
