样品编号,Sourness_Score,尼古丁,总糖,还原糖,总氮,总钾,总氯,糖碱比,氮碱比,两糖比,两糖差,钾氯比,苹果酸,草酸,柠檬酸,丙二酸,乳酸,棕榈酸,硬脂酸,油酸,亚油酸,绿原酸,莨菪亭,芸香苷,叶黄素,胡萝卜素,茄酮,香叶基丙酮,beta-紫罗兰酮,氧化紫罗兰酮,降茄二酮,3-羟基-β-二氢大马酮,3-氧代-α-紫罗兰醇,巨豆三烯酮,二氢猕猴桃内酯,新植二烯,磷酸,甘油,脯氨酸,尼古丁2,二羟基丙酸,苹果酸2,三羟基丁酸,柠檬酸2,果糖,葡萄糖,肌醇,蔗糖,糠醛,糠醇,5-甲基糠醛,菠萝呋喃酮,麦芽酚,DDMP,γ-巴豆酰内酯,二氢猕猴桃内酯2,γ-丁内酯,苯酚,愈创木酚,邻甲酚,间甲酚,对甲酚,4-乙烯基愈创木酚,"2,6-二甲基苯酚","2,6-二甲氧基苯酚",丁香酚,异丁香酚,2-环戊烯酮,3-甲基-2-环戊烯酮,"2,3-二甲基-2-环戊烯酮",3-乙基-2-环戊烯酮,甲基环戊烯醇酮,乙基环戊烯醇酮,1-茚酮,巨豆三烯酮2,3-羟基-β-二氢大马酮2,3-氧代-α-紫罗兰醇2,乙酸,丙酸,丁酸,异戊酸,3-甲基戊酸,吡咯,乙酰基吡咯,2-吡咯烷酮,吡啶,2-甲基吡啶,3-甲基吡啶,3-乙基吡啶,3-羟基-6-甲基吡啶,"2,3'-联吡啶",尼古丁3,麦司明,尼可他因,2-甲基吡嗪,吲哚,3-甲基吲哚,喹啉,异戊酰胺,新植二烯2,苯甲醇,苯乙醇
K21,3.06,2.84 ,17.93 ,16.86 ,2.50 ,2.99 ,0.47 ,6.31 ,0.88 ,0.94 ,1.07 ,6.36 ,46.7433 ,9.2649 ,5.4360 ,1.9630 ,0.3575 ,1.7459 ,0.2863 ,0.5339 ,0.8091 ,11.7420 ,0.0959 ,11.3521 ,46.6796 ,19.9938 ,0.0654 ,0.0178 ,0.0359 ,0.2644 ,0.2045 ,0.1525 ,3.9979 ,0.2251 ,0.8425 ,28.2851 ,0.2477 ,0.0991 ,0.6241 ,0.6801 ,0.0711 ,1.1708 ,0.2964 ,0.0489 ,5.8753 ,9.0006 ,0.9812 ,4.9945 ,0.194162,0.946122,0.136606,0.193190,0.109822,0.059738,0.030842,0.002579,0.043720,0.309143,0.074021,0.009841,0.000001,0.000001,0.046825,0.000001,0.004816,0.000001,0.000001,0.065001,0.015652,0.007048,0.002756,0.122483,0.026600,0.000001,0.054963,0.013336,0.137663,0.664158,0.134201,0.052192,0.094625,0.018471,0.004841,0.040963,0.000001,0.094872,0.007260,0.018624,0.001256,0.012534,0.136645,9.529354,0.079023,0.000001,0.018559,0.014618,0.000001,0.000001,0.000001,0.182948,0.050317,0.039264
K22,2.21,4.08 ,16.51 ,15.88 ,2.86 ,2.87 ,0.48 ,4.05 ,0.70 ,0.96 ,0.63 ,5.98 ,53.0449 ,12.9028 ,6.5882 ,3.2709 ,0.4449 ,1.7887 ,0.3131 ,0.5843 ,1.0282 ,16.6286 ,0.2026 ,16.7243 ,50.1487 ,33.2671 ,0.0753 ,0.0247 ,0.0495 ,0.2931 ,0.3164 ,0.1895 ,2.1363 ,0.3031 ,0.7660 ,41.0284 ,0.3074 ,0.0913 ,0.8161 ,1.5097 ,0.0832 ,1.7039 ,0.3811 ,0.0563 ,8.3372 ,11.8665 ,1.1950 ,5.8134 ,0.138009,0.600761,0.138472,0.142169,0.095540,0.052984,0.042758,0.001905,0.031063,0.275375,0.075640,0.003677,0.000001,0.000001,0.065296,0.000001,0.004155,0.000001,0.000001,0.038120,0.011007,0.004760,0.001776,0.084990,0.015201,0.000001,0.046972,0.009590,0.102198,0.484831,0.130757,0.053770,0.053741,0.012715,0.002652,0.039428,0.000001,0.023631,0.001556,0.005182,0.000364,0.006134,0.106124,8.228449,0.047594,0.000001,0.017240,0.012104,0.000001,0.000001,0.000001,0.147839,0.036080,0.037855
G1,1.62,1.10 ,8.27 ,7.65 ,2.91 ,2.58 ,3.26 ,7.52 ,2.65 ,0.93 ,0.62 ,0.79 ,69.5449 ,9.8482 ,9.0764 ,1.8592 ,0.3847 ,1.6596 ,0.2459 ,0.4180 ,0.8250 ,4.8850 ,0.0400 ,9.9470 ,68.5100 ,8.7180 ,0.0702 ,0.0162 ,0.0567 ,0.1086 ,0.2756 ,0.1073 ,6.9170 ,0.2210 ,1.8245 ,13.4177 ,0.1505 ,0.1130 ,0.6702 ,0.3377 ,0.0681 ,0.5770 ,0.1196 ,0.0414 ,1.0901 ,1.3842 ,0.4025 ,0.1739 ,0.018503,0.025065,0.032177,0.017792,0.009873,0.000896,0.007118,0.006324,0.000261,0.065108,0.007093,0.001845,0.003119,0.002590,0.009185,0.002582,0.001459,0.000220,0.000165,0.009545,0.002463,0.032177,0.000431,0.015342,0.001149,0.002009,0.009879,0.002295,0.027563,0.040772,0.009108,0.032380,0.032380,0.172947,0.000027,0.013696,0.009407,0.000999,0.000463,0.000989,0.000000,0.003998,0.009788,1.285972,0.001370,0.001488,0.071236,0.001640,0.000638,0.003433,0.002244,0.022211,0.008014,0.007797
G2,1.93,0.50 ,21.60 ,19.40 ,2.16 ,2.43 ,0.87 ,43.20 ,4.32 ,0.90 ,2.20 ,2.79 ,67.4380 ,9.8240 ,8.7122 ,1.7917 ,0.4753 ,1.7859 ,0.2384 ,0.4503 ,0.8521 ,8.5830 ,0.0520 ,15.3060 ,55.0500 ,11.1320 ,0.1366 ,0.0172 ,0.0416 ,0.6301 ,0.0284 ,0.1526 ,6.5242 ,0.2195 ,1.4838 ,13.5732 ,0.4148 ,0.1677 ,1.2498 ,0.1439 ,0.0767 ,0.5291 ,0.2701 ,0.0546 ,5.7746 ,6.9133 ,1.1505 ,0.7190 ,0.067289,0.192673,0.076748,0.070355,0.024497,0.028222,0.013027,0.004697,0.001833,0.101977,0.013609,0.002568,0.005776,0.004995,0.011426,0.004872,0.003086,0.000412,0.000902,0.020117,0.004483,0.081539,0.001052,0.040145,0.007700,0.001476,0.009823,0.002855,0.025341,0.043877,0.028713,0.099035,0.099035,0.478281,0.000217,0.013716,0.009334,0.004392,0.006722,0.006732,0.000575,0.007066,0.007364,1.146645,0.001939,0.001277,0.015100,0.002958,0.001229,0.003557,0.001682,0.019905,0.005466,0.013803
G3,2,1.03 ,11.90 ,10.80 ,2.60 ,3.68 ,1.28 ,11.55 ,2.52 ,0.91 ,1.10 ,2.88 ,69.0426 ,10.1482 ,8.8749 ,1.7859 ,0.4390 ,1.8387 ,0.2630 ,0.4895 ,0.8689 ,3.9050 ,0.0280 ,7.7570 ,76.8500 ,14.0140 ,0.0746 ,0.0276 ,0.0471 ,0.2492 ,0.4333 ,0.1498 ,12.0373 ,0.3942 ,1.5100 ,15.4700 ,0.2329 ,0.2488 ,0.6658 ,0.3297 ,0.1093 ,1.4279 ,0.2171 ,0.1572 ,1.5467 ,2.2396 ,0.5186 ,0.3383 ,0.029621,0.094977,0.041654,0.040895,0.014417,0.004504,0.009788,0.005349,0.001717,0.084015,0.013095,0.003399,0.004534,0.003830,0.009341,0.003321,0.002556,0.000290,0.000501,0.017445,0.005094,0.038137,0.000932,0.024850,0.004136,0.001728,0.010925,0.002529,0.043331,0.042759,0.018610,0.055824,0.055824,0.274916,0.000273,0.016443,0.008482,0.002017,0.004860,0.003951,0.000232,0.004716,0.013010,2.436836,0.003957,0.001962,0.045555,0.003890,0.001099,0.003357,0.001579,0.028628,0.006915,0.009596
G4,3.1,3.06 ,0.92 ,0.00 ,3.86 ,7.07 ,2.55 ,0.30 ,1.26 ,0.10 ,0.92 ,2.77 ,46.7433 ,9.2649 ,5.4360 ,1.9630 ,0.3575 ,1.7459 ,0.2863 ,0.5339 ,0.8091 ,11.7420 ,0.0959 ,11.3521 ,46.6796 ,19.9938 ,0.0654 ,0.0178 ,0.0359 ,0.2644 ,0.2045 ,0.1525 ,3.9979 ,0.2251 ,0.8425 ,28.2851 ,0.2477 ,0.0991 ,0.6241 ,0.6801 ,0.0711 ,1.1708 ,0.2964 ,0.0489 ,5.8753 ,9.0006 ,0.9812 ,4.9945 ,0.085204,0.098415,0.093255,0.024610,0.036234,0.005427,0.002356,0.005993,0.007414,0.271255,0.056442,0.006294,0.000001,0.000001,0.035808,0.000001,0.001336,0.000001,0.000001,0.040844,0.010603,0.002441,0.001251,0.044085,0.004831,0.000001,0.061517,0.017346,0.180136,0.173541,0.056919,0.036443,0.071311,0.143407,0.011851,0.036012,0.000010,0.023517,0.001525,0.004969,0.000631,0.018155,0.065476,6.374625,0.038766,0.000000,0.229819,0.019279,0.000010,0.000010,0.000010,0.174179,0.031944,0.033654
S16,0.21,6.85 ,2.41 ,2.10 ,3.94 ,0.91 ,0.85 ,0.35 ,0.58 ,0.87 ,0.31 ,1.07 ,53.0680 ,21.8967 ,75.5732 ,3.0916 ,0.0000 ,1.0212 ,0.2125 ,0.3530 ,0.5753 ,0.6120 ,0.1610 ,2.0520 ,78.5700 ,14.4270 ,0.1314 ,0.0320 ,0.1245 ,0.2843 ,0.0133 ,0.1236 ,11.3257 ,0.4054 ,2.1959 ,21.4405 ,0.5104 ,0.0947 ,0.3455 ,2.9282 ,0.0557 ,1.5394 ,0.1284 ,0.6103 ,0.3110 ,0.4336 ,0.0011 ,0.0111 ,0.050535,0.056888,0.059369,0.023474,0.037775,0.005762,0.035126,0.010997,0.010146,0.095798,0.032936,0.003109,0.007434,0.003797,0.014547,0.012882,0.007606,0.000615,0.002999,0.018086,0.005089,0.059369,0.000677,0.019167,0.001979,0.001978,0.011359,0.005984,0.051190,0.133676,0.034381,0.027955,0.006935,0.225513,0.016620,0.019379,0.033490,0.031978,0.002116,0.011945,0.000133,0.007322,0.132115,9.040516,0.101212,0.022242,0.116808,0.012628,0.001696,0.008972,0.005509,0.083478,0.026807,0.113618
S17,0.32,7.42 ,2.10 ,2.07 ,4.03 ,0.97 ,0.84 ,0.28 ,0.54 ,0.99 ,0.03 ,1.15 ,56.7910 ,17.8357 ,78.4733 ,2.3647 ,0.0000 ,1.0392 ,0.1800 ,0.2075 ,0.6036 ,0.7660 ,0.1420 ,2.2100 ,92.1860 ,14.7040 ,0.1218 ,0.0413 ,0.1060 ,0.0955 ,0.0157 ,0.1565 ,12.2783 ,0.5230 ,2.6766 ,19.8387 ,0.5387 ,0.0977 ,0.3526 ,3.2687 ,0.0558 ,1.7276 ,0.1183 ,0.7497 ,0.2835 ,0.3191 ,0.5184 ,0.0086 ,0.019804,0.023588,0.024841,0.008130,0.012020,0.002508,0.010041,0.006781,0.006865,0.045562,0.015977,0.001481,0.003491,0.001894,0.005793,0.003511,0.004091,0.000280,0.001366,0.010415,0.003067,0.001581,0.000317,0.009667,0.000698,0.001080,0.009241,0.003874,0.034422,0.093855,0.021841,0.016730,0.003937,0.118423,0.004013,0.011295,0.022339,0.018068,0.000622,0.004180,0.000203,0.004554,0.092511,8.019624,0.063389,0.015574,0.073418,0.005670,0.000713,0.005063,0.003543,0.049499,0.014541,0.031596
S18,0.24,4.95 ,0.89 ,0.62 ,4.72 ,2.53 ,0.23 ,0.18 ,0.95 ,0.70 ,0.27 ,11.00 ,49.5726 ,23.4650 ,58.0789 ,3.5327 ,0.2951 ,0.8934 ,0.1998 ,0.2695 ,0.5296 ,0.2940 ,0.2510 ,0.3470 ,116.3890 ,24.8560 ,0.0896 ,0.0423 ,0.0995 ,0.2644 ,0.1818 ,0.0964 ,11.0375 ,0.6876 ,2.4848 ,33.3000 ,0.2953 ,0.0772 ,0.2039 ,2.0601 ,0.0529 ,1.6965 ,0.1399 ,0.5002 ,0.0652 ,0.0715 ,0.0041 ,0.0103 ,0.005208,0.040246,0.003233,0.016157,0.010724,0.000001,0.006611,0.010293,0.000661,0.136160,0.032985,0.003867,0.006225,0.005562,0.005769,0.020141,0.006544,0.000302,0.001226,0.004572,0.000575,0.003242,0.000655,0.012264,0.001604,0.002042,0.014396,0.004483,0.046670,0.024059,0.006530,0.041425,0.041425,0.003669,0.000470,0.014955,0.035741,0.000912,0.000525,0.002114,0.000001,0.007471,0.121478,8.789936,0.067229,0.004876,0.015470,0.032482,0.003747,0.005368,0.006594,0.072540,0.023609,0.055733
S24,0.12,5.79 ,2.04 ,1.94 ,4.06 ,2.25 ,1.02 ,0.35 ,0.70 ,0.95 ,0.10 ,2.21 ,29.2000 ,23.0300 ,41.5400 ,5.3900 ,0.3400 ,0.8300 ,0.2100 ,0.1100 ,0.3500 ,0.2580 ,0.1780 ,1.2760 ,48.5910 ,30.7500 ,0.0469 ,0.0096 ,0.1281 ,0.2728 ,0.1108 ,0.1165 ,10.6292 ,0.1786 ,2.0413 ,26.8453 ,0.2891 ,0.1007 ,0.1139 ,2.4695 ,0.0472 ,0.9872 ,0.0983 ,0.5165 ,0.2562 ,0.3857 ,0.1040 ,0.0548 ,0.038219,0.083876,0.044704,0.029347,0.039816,0.003308,0.032892,0.011616,0.008737,0.156947,0.033951,0.003490,0.007509,0.004050,0.014963,0.005266,0.007293,0.000579,0.003136,0.017281,0.005192,0.002773,0.000829,0.026245,0.003445,0.001938,0.020455,0.005749,0.070402,0.138289,0.032052,0.021991,0.012688,0.113867,0.024001,0.024338,0.019967,0.035302,0.002334,0.008788,0.000212,0.010217,0.108872,8.166069,0.067648,0.012355,0.137576,0.028504,0.003213,0.008056,0.004688,0.067354,0.029427,0.047292
S25,0.13,5.52 ,2.16 ,2.11 ,3.75 ,2.15 ,0.91 ,0.39 ,0.68 ,0.98 ,0.05 ,2.36 ,28.1978 ,17.7841 ,41.4693 ,4.1601 ,0.0100 ,0.6518 ,0.1822 ,0.1777 ,0.2905 ,0.4030 ,0.1460 ,1.1750 ,49.6260 ,7.7560 ,0.0665 ,0.0228 ,0.0865 ,0.2726 ,0.1690 ,0.1859 ,16.0930 ,0.2955 ,2.3660 ,22.9726 ,0.2985 ,0.0954 ,0.0898 ,2.3655 ,0.0468 ,1.0729 ,0.1137 ,0.5180 ,0.2934 ,0.3506 ,0.0016 ,0.0084 ,0.026628,0.097929,0.027241,0.017780,0.023453,0.002970,0.023304,0.009183,0.007785,0.108214,0.023217,0.002661,0.005353,0.003021,0.010494,0.002611,0.005428,0.000455,0.002420,0.015210,0.004543,0.002236,0.000680,0.023908,0.003372,0.002813,0.018754,0.005574,0.070487,0.139217,0.029464,0.017909,0.010664,0.141585,0.008959,0.018549,0.013834,0.022271,0.001181,0.004122,0.000042,0.007812,0.090522,7.864592,0.045820,0.011113,0.106502,0.017225,0.002089,0.006831,0.003740,0.062419,0.024431,0.023556
S34,0.22,2.79 ,11.50 ,11.32 ,2.76 ,1.16 ,0.48 ,4.12 ,0.99 ,0.98 ,0.18 ,2.42 ,31.9848 ,10.5120 ,13.7692 ,3.4089 ,0.0100 ,1.3543 ,0.2128 ,0.3551 ,0.7871 ,1.0030 ,0.2130 ,4.4920 ,38.8810 ,5.3500 ,0.0821 ,0.0138 ,0.0744 ,0.2771 ,0.3458 ,0.1354 ,12.4665 ,0.1578 ,1.6601 ,20.4213 ,0.2172 ,0.0769 ,0.1364 ,1.0912 ,0.0660 ,0.8207 ,0.1574 ,0.0885 ,3.2165 ,3.4021 ,0.0022 ,0.0608 ,0.079601,0.288948,0.077662,0.036049,0.030880,0.027124,0.014734,0.005311,0.011541,0.104630,0.022236,0.002887,0.006564,0.003634,0.007997,0.001981,0.004315,0.000406,0.001857,0.022621,0.005436,0.077662,0.000950,0.038576,0.006134,0.001044,0.013842,0.003638,0.047995,0.180217,0.032890,0.016100,0.008930,0.134506,0.002599,0.010960,0.009195,0.073136,0.007760,0.015388,0.001324,0.003910,0.024004,4.773687,0.014255,0.004754,0.030124,0.004310,0.000883,0.004912,0.002133,0.039568,0.012345,0.017946
S40,0.33,5.46 ,0.90 ,0.00 ,4.38 ,1.19 ,0.67 ,0.16 ,0.80 ,0.01 ,0.90 ,1.78 ,68.6280 ,18.4183 ,53.0132 ,2.5786 ,0.2852 ,0.6409 ,0.0100 ,0.2122 ,0.2805 ,0.2900 ,0.1260 ,0.2980 ,18.4250 ,2.0630 ,0.0592 ,0.0854 ,0.0688 ,0.1949 ,0.0949 ,0.1599 ,4.2497 ,1.1782 ,1.8312 ,19.3385 ,0.2166 ,0.0918 ,0.1179 ,2.1043 ,0.0705 ,1.5938 ,0.0983 ,0.2958 ,0.0326 ,0.0444 ,0.0043 ,0.0183 ,0.022028,0.062739,0.023933,0.014641,0.022017,0.001197,0.021611,0.007581,0.006521,0.080269,0.020874,0.002902,0.006634,0.002945,0.006942,0.003157,0.004143,0.000277,0.001404,0.014861,0.004153,0.002259,0.000603,0.015186,0.001903,0.001877,0.009048,0.005196,0.017798,0.100546,0.022238,0.017277,0.007001,0.103404,0.020309,0.013509,0.021976,0.023152,0.001557,0.007960,0.000086,0.007197,0.096805,7.732814,0.071272,0.013970,0.112666,0.017922,0.001924,0.007844,0.004932,0.055075,0.019102,0.030101
S41,0.21,4.16 ,0.00 ,0.00 ,5.35 ,3.53 ,0.42 ,0.01 ,1.29 ,0.01 ,0.01 ,8.40 ,54.5705 ,22.2268 ,30.4539 ,3.3340 ,0.2708 ,0.9964 ,0.2163 ,0.4386 ,0.4506 ,0.2550 ,0.0150 ,0.5350 ,150.3010 ,21.5520 ,0.0419 ,0.0876 ,0.1385 ,0.2569 ,0.1166 ,0.0313 ,5.9818 ,1.2220 ,1.9648 ,34.7226 ,0.2468 ,0.0861 ,0.3272 ,1.4889 ,0.0576 ,1.3658 ,0.3144 ,0.2057 ,0.0287 ,0.0457 ,0.0029 ,0.0027 ,0.003294,0.048082,0.003679,0.006521,0.007484,0.000083,0.000789,0.007159,0.006208,0.085464,0.014752,0.003789,0.005367,0.002958,0.003766,0.003920,0.001592,0.000188,0.001251,0.012480,0.004187,0.002296,0.000721,0.011817,0.002476,0.001276,0.007081,0.001899,0.016316,0.062196,0.016029,0.014003,0.016302,0.245368,0.011794,0.014764,0.026768,0.013442,0.000993,0.001973,0.000276,0.004061,0.073695,6.441515,0.032626,0.007231,0.102494,0.023951,0.002264,0.002765,0.006018,0.098496,0.008695,0.035539
S42,0.11,5.01 ,0.00 ,0.00 ,5.68 ,4.20 ,0.70 ,0.01 ,1.13 ,0.01 ,0.01 ,6.00 ,61.0239 ,11.8941 ,50.0884 ,2.1965 ,0.0100 ,0.3371 ,0.0100 ,0.1719 ,0.2096 ,0.0000 ,0.0130 ,0.1380 ,99.6270 ,11.1410 ,0.0370 ,0.0425 ,0.0896 ,0.1692 ,0.0613 ,0.0491 ,2.4258 ,0.6269 ,0.8979 ,34.0607 ,0.2191 ,0.1223 ,0.0204 ,1.8836 ,0.0886 ,1.8293 ,0.1083 ,0.6397 ,0.0225 ,0.0281 ,0.0252 ,0.0013 ,0.007033,0.043344,0.008055,0.007367,0.008346,0.000001,0.006606,0.005313,0.000063,0.074222,0.010080,0.003208,0.004648,0.004107,0.003016,0.013997,0.004033,0.000219,0.000797,0.009339,0.003451,0.008055,0.000469,0.008521,0.001064,0.001267,0.006781,0.003775,0.019459,0.058344,0.010239,0.051718,0.051718,0.126634,0.004302,0.014915,0.011854,0.001866,0.001160,0.001501,0.000232,0.010158,0.203093,7.487299,0.053995,0.004877,0.084913,0.014688,0.003255,0.003403,0.007985,0.063366,0.011870,0.038741
S43,0.1,4.82 ,0.00 ,0.00 ,5.69 ,4.01 ,1.06 ,0.01 ,1.18 ,0.01 ,0.01 ,3.78 ,56.2216 ,12.6121 ,50.1758 ,2.0615 ,0.0100 ,0.2500 ,0.0100 ,0.0226 ,0.1445 ,0.0000 ,0.0170 ,0.4170 ,104.5560 ,17.9030 ,0.0471 ,0.0393 ,0.0666 ,0.1807 ,0.0731 ,0.0828 ,3.1466 ,0.6296 ,1.1346 ,38.7490 ,0.2259 ,0.1036 ,0.0312 ,1.7741 ,0.0899 ,1.5954 ,0.1575 ,0.5785 ,0.0254 ,0.0345 ,0.0218 ,0.0020 ,0.008710,0.043052,0.010268,0.009244,0.011830,0.000001,0.006707,0.006454,0.000138,0.095341,0.014447,0.004193,0.006239,0.005428,0.004111,0.020264,0.003853,0.000296,0.001030,0.011694,0.004183,0.010268,0.000589,0.010009,0.001219,0.001048,0.010162,0.004188,0.023386,0.050295,0.010058,0.049745,0.049745,0.133048,0.010288,0.018476,0.018885,0.003093,0.001836,0.002267,0.000664,0.011913,0.255073,8.294808,0.066249,0.005195,0.137583,0.020437,0.004774,0.004891,0.010558,0.088378,0.016216,0.055378
S44,0.16,1.96 ,0.00 ,0.00 ,3.77 ,2.86 ,0.61 ,0.43 ,1.92 ,0.00 ,0.85 ,4.69 ,18.7247 ,17.1583 ,32.4201 ,2.3377 ,0.3607 ,0.6222 ,0.0100 ,0.5243 ,0.2382 ,0.2830 ,0.0090 ,0.0250 ,2.2840 ,0.0000 ,0.0293 ,0.0159 ,0.0631 ,0.1540 ,0.0796 ,0.0312 ,0.2182 ,0.2237 ,1.0103 ,23.2169 ,0.0862 ,0.0083 ,0.0237 ,0.4220 ,0.0090 ,0.2079 ,0.0126 ,0.0304 ,0.0185 ,0.0025 ,0.0020 ,0.0030 ,0.005077,0.067296,0.003199,0.001565,0.010357,0.000081,0.018045,0.006716,0.008439,0.039996,0.007299,0.003267,0.003590,0.003586,0.002469,0.003671,0.000774,0.000136,0.000772,0.025714,0.005690,0.002041,0.000725,0.029265,0.003697,0.000987,0.002462,0.001280,0.003331,0.081655,0.020276,0.025495,0.125205,0.431193,0.002685,0.007046,0.004230,0.010917,0.000217,0.002104,0.000099,0.001386,0.105412,3.130124,0.074251,0.011685,0.077878,0.010144,0.000841,0.001763,0.003767,0.064297,0.008835,0.034042
S47,0.21,7.55 ,0.79 ,0.00 ,3.81 ,2.71 ,0.37 ,0.10 ,0.50 ,0.00 ,0.79 ,7.32 ,22.5018 ,22.5740 ,21.1227 ,3.5039 ,0.0100 ,0.4686 ,0.0100 ,0.2547 ,0.2315 ,0.2380 ,0.0200 ,0.0630 ,22.9850 ,2.5960 ,0.1306 ,0.0483 ,0.1032 ,0.2714 ,0.3530 ,0.1744 ,9.7922 ,0.6832 ,1.2751 ,34.5533 ,0.3165 ,0.0569 ,0.0021 ,2.7689 ,0.0599 ,0.9613 ,0.1548 ,0.3527 ,0.0302 ,0.0362 ,0.0044 ,0.0026 ,0.033738,0.095726,0.031700,0.019339,0.033759,0.000487,0.009171,0.005319,0.005792,0.115811,0.020546,0.003741,0.005715,0.004177,0.007917,0.012445,0.004648,0.000502,0.002954,0.026670,0.005966,0.003395,0.000980,0.028076,0.005887,0.001719,0.011806,0.004845,0.072616,0.016851,0.029731,0.018392,0.018563,0.475076,0.029878,0.015295,0.006406,0.035319,0.002030,0.014325,0.001054,0.007258,0.081340,9.563902,0.083005,0.012329,0.103839,0.019442,0.002011,0.005521,0.004149,0.091008,0.021264,0.109053
S5,0.21,2.35 ,18.73 ,18.57 ,2.12 ,2.14 ,0.94 ,7.97 ,0.90 ,0.99 ,0.16 ,2.28 ,30.6700 ,21.7700 ,12.5100 ,3.1200 ,0.3700 ,1.1600 ,0.2500 ,0.2100 ,0.6500 ,1.0580 ,0.0850 ,4.5950 ,23.7240 ,11.4070 ,0.0346 ,0.0144 ,0.0378 ,0.1362 ,0.1087 ,0.2018 ,13.6630 ,0.2959 ,0.8936 ,25.4338 ,0.2760 ,0.0686 ,0.2692 ,1.1331 ,0.0999 ,0.9738 ,0.2786 ,0.0972 ,6.3941 ,6.1058 ,0.5524 ,0.0523 ,0.182445,0.436478,0.192632,0.055300,0.050276,0.048662,0.050311,0.005544,0.013953,0.130827,0.020559,0.004514,0.006656,0.005997,0.009062,0.001436,0.002621,0.000272,0.001372,0.036610,0.008346,0.192632,0.001368,0.058836,0.010774,0.001532,0.014668,0.004395,0.076734,0.203911,0.048564,0.007215,0.031678,0.198149,0.001653,0.015094,0.007922,0.089686,0.007389,0.014163,0.001370,0.005325,0.027176,4.972952,0.015686,0.004538,0.023928,0.002210,0.000938,0.003684,0.001612,0.047344,0.011774,0.012608
S53-1,0.2,5.06 ,0.89 ,0.00 ,4.09 ,3.18 ,0.82 ,0.18 ,0.81 ,0.00 ,0.89 ,3.88 ,54.6345 ,36.0716 ,30.0064 ,4.7054 ,0.0100 ,0.3427 ,0.0100 ,0.1847 ,0.2766 ,0.2440 ,0.0240 ,0.3370 ,67.2730 ,19.3010 ,0.0633 ,0.0699 ,0.0652 ,0.1681 ,0.1153 ,0.1746 ,7.2483 ,0.9996 ,0.9356 ,30.7432 ,0.2273 ,0.0418 ,0.0190 ,1.9061 ,0.0629 ,1.4457 ,0.1290 ,0.3029 ,0.0219 ,0.0490 ,0.0019 ,0.0033 ,0.009785,0.060203,0.019668,0.015713,0.020904,0.000227,0.012509,0.004756,0.004243,0.103048,0.014898,0.003465,0.004318,0.003231,0.006075,0.008346,0.002899,0.000357,0.001866,0.014814,0.003963,0.001877,0.000633,0.016620,0.002493,0.001423,0.008824,0.004766,0.022539,0.004656,0.018707,0.015008,0.009077,0.041106,0.014967,0.019971,0.006613,0.011024,0.001233,0.003797,0.000309,0.007238,0.043550,6.785476,0.056278,0.007979,0.144665,0.015555,0.001465,0.004076,0.003329,0.083877,0.011925,0.073243
S53-2,0.21,5.06 ,1.19 ,0.00 ,4.00 ,3.15 ,0.77 ,0.24 ,0.79 ,0.00 ,1.19 ,4.09 ,50.7999 ,38.6560 ,29.7264 ,4.6647 ,0.0100 ,0.3708 ,0.0100 ,0.4362 ,0.2983 ,0.2520 ,0.0200 ,0.4890 ,75.7660 ,22.0330 ,0.0731 ,0.0823 ,0.0689 ,0.2223 ,0.1641 ,0.2199 ,9.9216 ,1.2026 ,1.1602 ,38.4180 ,0.2181 ,0.0380 ,0.0099 ,1.8444 ,0.0651 ,1.2545 ,0.1291 ,0.2649 ,0.0172 ,0.0382 ,0.0019 ,0.0040 ,0.011298,0.080855,0.023434,0.018458,0.029663,0.000186,0.014406,0.005971,0.005015,0.122688,0.018269,0.004310,0.005113,0.004115,0.006794,0.008222,0.003260,0.000404,0.000999,0.019728,0.005136,0.002670,0.000861,0.019940,0.003226,0.001781,0.010965,0.006257,0.027316,0.004959,0.019990,0.017558,0.012527,0.008266,0.036749,0.025688,0.007799,0.025825,0.002099,0.006431,0.000395,0.009257,0.049148,7.627038,0.064220,0.008613,0.190318,0.018243,0.002160,0.004972,0.004028,0.112981,0.013950,0.073563
S6,0.11,2.65 ,15.93 ,15.25 ,2.31 ,2.59 ,1.10 ,6.01 ,0.87 ,0.96 ,0.68 ,2.35 ,38.3000 ,20.8800 ,17.3000 ,2.9100 ,0.3700 ,0.9500 ,0.2500 ,0.1700 ,0.5900 ,0.9210 ,0.0800 ,4.4100 ,31.5270 ,15.8200 ,0.0381 ,0.0191 ,0.0463 ,0.1317 ,0.0848 ,0.1848 ,15.0557 ,0.3919 ,0.9597 ,27.8112 ,0.2636 ,0.0703 ,0.2894 ,1.3470 ,0.0945 ,1.2150 ,0.2675 ,0.1367 ,5.4163 ,5.0613 ,0.4816 ,0.0501 ,0.175738,0.573127,0.188123,0.053887,0.051122,0.044532,0.053022,0.006052,0.015580,0.141627,0.023836,0.005467,0.007198,0.006592,0.010632,0.000802,0.003581,0.000319,0.001595,0.038197,0.008784,0.188123,0.001553,0.059114,0.010791,0.001872,0.016699,0.004560,0.085789,0.224093,0.051213,0.008825,0.026719,0.183823,0.002879,0.019007,0.006537,0.088681,0.007556,0.015529,0.001479,0.005901,0.034543,5.793637,0.024496,0.005952,0.032283,0.003525,0.001172,0.003817,0.001706,0.054934,0.011506,0.007881
