Chemical,N_Valid,N_Zero,Mean,SD,Median,Min,Max,CV_Percent,Format_Mean_SD,Format_Median_Range
三乙酸甘油酯,18,0,2486.2548445555553,427.48296586671086,2413.8226965,1853.226124,3336.374163,17.19,2486.25 ± 427.48,2413.82 (1853.23-3336.37)
烟碱,18,0,2237.9120600611113,1419.623435314864,1640.6232730000002,447.7474177,4900.250238,63.44,2237.91 ± 1419.62,1640.62 (447.75-4900.25)
醋酸,18,0,467.8345847944445,102.22267878185914,452.63501755000004,294.8670417,640.0650715,21.85,467.83 ± 102.22,452.64 (294.87-640.07)
羟基丙酮,18,0,355.92844677777776,135.9265252402774,385.77480955,104.9326933,559.4768549,38.19,355.93 ± 135.93,385.77 (104.93-559.48)
乙酸甘油酯,18,0,282.16743375,72.96974524624545,276.7048469,119.082063,387.1206022,25.86,282.17 ± 72.97,276.7 (119.08-387.12)
丙二醇,18,0,171.32026751111113,18.540055996500545,168.70821995,135.6785198,203.8050196,10.82,171.32 ± 18.54,168.71 (135.68-203.81)
5-羟甲基糠醛,18,0,132.7871193966111,124.64038750968517,104.1539216,2.183601834,414.3837029,93.86,132.79 ± 124.64,104.15 (2.18-414.38)
3-甲基戊酸,18,0,125.46551296333334,67.33563937557301,103.67171594999999,34.20694306,256.0181574,53.67,125.47 ± 67.34,103.67 (34.21-256.02)
叶黄素,18,0,92.18293764777778,56.0937750694872,87.60926141,20.00424222,201.1128267,60.85,92.18 ± 56.09,87.61 (20-201.11)
DDMP,18,0,83.56941279166666,31.88779126947262,83.86581332,17.04850285,147.1005161,38.16,83.57 ± 31.89,83.87 (17.05-147.1)
糠醇,18,0,82.099741085,37.86240291174654,88.35242995,20.68596842,150.8370185,46.12,82.1 ± 37.86,88.35 (20.69-150.84)
苹果酸,18,0,54.890754673888885,32.57348863462504,43.295713335,19.06426951,127.2418524,59.34,54.89 ± 32.57,43.3 (19.06-127.24)
N-甲基吡咯烷酮,18,0,47.08600873611111,4.378273074380186,46.37299719,39.93965955,54.11186238,9.3,47.09 ± 4.38,46.37 (39.94-54.11)
糖碱比,18,0,39.378988292,40.256490013755105,30.586238595,1.125351954,159.622602,102.23,39.38 ± 40.26,30.59 (1.13-159.62)
3-羟基吡啶,18,0,38.14183841055556,20.689761150780846,32.619043065,14.37001189,76.11351122,54.24,38.14 ± 20.69,32.62 (14.37-76.11)
新植二烯2,18,0,33.953961651444445,20.939449121546705,31.995662915,5.455319226,87.03494025,61.67,33.95 ± 20.94,32 (5.46-87.03)
"3-羟基丙烷-1,2-二乙酸二酯",18,0,33.29970591166666,5.886826184378301,32.641493055,21.08147607,44.10897662,17.68,33.3 ± 5.89,32.64 (21.08-44.11)
叔丁醇,18,0,28.070842180555555,1.4880180026873535,28.097188709999998,25.33647709,31.67305116,5.3,28.07 ± 1.49,28.1 (25.34-31.67)
γ-松油烯,18,0,27.712057399888888,15.343935516349632,24.64428272,7.878275438,66.69594245,55.37,27.71 ± 15.34,24.64 (7.88-66.7)
柠檬酸,18,0,23.54897537438889,14.353370749733713,20.738101535,8.501058339,64.46624674,60.95,23.55 ± 14.35,20.74 (8.5-64.47)
乙二醇二乙酸酯,18,0,23.097069910000002,5.915184384221954,23.255998205,12.46904492,31.85887981,25.61,23.1 ± 5.92,23.26 (12.47-31.86)
乙酰氧基丙酮,18,0,23.097069910000002,5.915184384221954,23.255998205,12.46904492,31.85887981,25.61,23.1 ± 5.92,23.26 (12.47-31.86)
总糖,18,0,21.622497953277776,8.612158760738144,23.063206809999997,4.470790504,35.63686302,39.83,21.62 ± 8.61,23.06 (4.47-35.64)
胡萝卜素,18,0,20.770446746555557,10.419343029794755,20.075627515,8.040979859,45.72557264,50.16,20.77 ± 10.42,20.08 (8.04-45.73)
2-甲基丁酸,18,0,20.72391404372222,13.1698127178675,20.45777627,4.811130261,48.47787508,63.55,20.72 ± 13.17,20.46 (4.81-48.48)
5-甲基糠醛,18,0,20.593795641499998,11.735844302781098,20.70447767,3.123794309,41.68246976,56.99,20.59 ± 11.74,20.7 (3.12-41.68)
苯酚,18,0,19.82482273,3.806055607712062,20.00147599,12.23975303,30.62187255,19.2,19.82 ± 3.81,20 (12.24-30.62)
还原糖,18,0,19.331673465555557,7.697092996516695,20.77605209,3.555167053,29.56686155,39.82,19.33 ± 7.7,20.78 (3.56-29.57)
草酸,18,0,18.857481709,7.425747187348214,17.953112525,7.757793182,37.27548766,39.38,18.86 ± 7.43,17.95 (7.76-37.28)
糠醛,18,0,15.93371101,10.147195138160178,15.620991199999999,2.686842945,35.89002185,63.68,15.93 ± 10.15,15.62 (2.69-35.89)
异巴比妥酸,18,0,14.5793963045,5.353767904728657,14.52749504,5.967026461,25.85273945,36.72,14.58 ± 5.35,14.53 (5.97-25.85)
新植二烯,18,0,13.304415663333334,5.897756336158448,14.396023745,4.358624884,23.88396876,44.33,13.3 ± 5.9,14.4 (4.36-23.88)
呋喃酮,18,0,12.342858208111112,4.796475342615,11.553465905,4.265070533,21.26704326,38.86,12.34 ± 4.8,11.55 (4.27-21.27)
芸香苷,18,0,11.568640466722222,3.5238071245074916,11.901682730000001,6.247600794,17.64869772,30.46,11.57 ± 3.52,11.9 (6.25-17.65)
2(5H)-呋喃酮,18,0,9.72805598411111,2.170593392081981,8.746005676,5.665427474,14.4290503,22.31,9.73 ± 2.17,8.75 (5.67-14.43)
丙酸,18,0,9.193567799,2.6602450772287627,9.2003296005,4.46820411,13.76920635,28.94,9.19 ± 2.66,9.2 (4.47-13.77)
1-羟基-2-丁酮,18,0,8.690305517222223,3.257845264484739,8.47486557,2.557365811,15.11635131,37.49,8.69 ± 3.26,8.47 (2.56-15.12)
3-羟基-2-丁酮,18,0,8.669051726722222,2.0834195682553673,8.9835340765,5.113650606,11.86688359,24.03,8.67 ± 2.08,8.98 (5.11-11.87)
甲基环戊烯醇酮,18,0,8.019165975666667,2.2331423033558946,8.1042999335,3.460070234,11.8770086,27.85,8.02 ± 2.23,8.1 (3.46-11.88)
"1,2-环戊二酮",18,0,7.594658784888889,3.246663919632868,7.8539508175,0.618609414,13.56377341,42.75,7.59 ± 3.25,7.85 (0.62-13.56)
钾氯比,18,0,7.511316093166666,8.889534374128372,3.492168637,1.109333509,25.88696164,118.35,7.51 ± 8.89,3.49 (1.11-25.89)
γ-丁内酯,18,0,6.715588423944444,1.6371831051523065,6.2610382505,4.31954265,9.866512414,24.38,6.72 ± 1.64,6.26 (4.32-9.87)
3-氧代-α-紫罗兰醇,18,0,6.598720543277778,2.568235554847305,6.4213038125,2.62579219,11.33691345,38.92,6.6 ± 2.57,6.42 (2.63-11.34)
绿原酸,18,0,6.538992562722222,2.8867458828065806,6.854625141,1.906735255,13.63920077,44.15,6.54 ± 2.89,6.85 (1.91-13.64)
"2,4-二甲基-3-戊醇",18,0,6.3421543555,0.9595434836851753,6.673132166,4.57880348,7.670728684,15.13,6.34 ± 0.96,6.67 (4.58-7.67)
"4-环戊烯-1,3-二酮",18,0,5.438069417277778,2.3006211546748854,5.7463919494999995,1.770288678,9.037437298,42.31,5.44 ± 2.3,5.75 (1.77-9.04)
吡啶,18,0,5.193562402555555,2.379022667242752,5.1138613245,0.940498145,9.73408239,45.81,5.19 ± 2.38,5.11 (0.94-9.73)
"2,3-丁二醇",18,0,4.9493061025,1.3913550770927567,4.8114342775,2.30516996,7.550200779,28.11,4.95 ± 1.39,4.81 (2.31-7.55)
紫罗醇,18,0,4.882086245777778,1.8421985306831645,4.674304514999999,2.609287406,10.03471289,37.73,4.88 ± 1.84,4.67 (2.61-10.03)
降茄二酮,18,0,4.578398007944444,2.220948418745158,4.6267441255,1.864560002,9.59630315,48.51,4.58 ± 2.22,4.63 (1.86-9.6)
甲基麦芽酚,18,0,4.3476911895,1.2894054544615152,4.094617513,2.658824072,7.221788514,29.66,4.35 ± 1.29,4.09 (2.66-7.22)
2-羟基丙基乙酸酯,18,0,4.336845784888889,0.5525049680566969,4.249144364,3.408978204,5.483415114,12.74,4.34 ± 0.55,4.25 (3.41-5.48)
2-吡咯甲醛,18,0,4.188070632333333,1.8036953496967951,4.180392327,1.93061865,8.021356064,43.07,4.19 ± 1.8,4.18 (1.93-8.02)
2-羟基-丁酸酮,18,0,4.185882196,1.8923476966457398,3.7628081945,1.882468484,7.712148354,45.21,4.19 ± 1.89,3.76 (1.88-7.71)
乙酰胺,18,0,4.0723906266666665,3.1390170437541935,2.7745201755,1.387813402,13.51021132,77.08,4.07 ± 3.14,2.77 (1.39-13.51)
羟基乙酰呋喃,18,0,3.9479219528333336,2.4386814210291496,3.169732086,0.675979927,10.0534555,61.77,3.95 ± 2.44,3.17 (0.68-10.05)
2-吡咯烷酮,18,0,3.930888188888889,1.98235084521956,3.2354765815,1.72704326,9.700952199,50.43,3.93 ± 1.98,3.24 (1.73-9.7)
Sourness_Score,18,0,3.747777777777778,0.7654645306690693,3.965,2.53,4.82,20.42,3.75 ± 0.77,3.96 (2.53-4.82)
异丁酸,18,0,3.4355851464444442,1.9221224843208833,2.9953831945,1.144549456,7.90891593,55.95,3.44 ± 1.92,3 (1.14-7.91)
对羟基苯乙烯,18,0,3.4257271902777777,1.3736640430297293,3.346294986,1.179447263,6.583478193,40.1,3.43 ± 1.37,3.35 (1.18-6.58)
苯乙醇,18,0,3.369299868888889,1.4947896344904246,2.91601949,1.677955606,6.464962332,44.36,3.37 ± 1.49,2.92 (1.68-6.46)
2-乙酰基呋喃,18,0,3.1808887240555554,1.2846651079848954,3.3776430465000002,1.178916342,5.901085598,40.39,3.18 ± 1.28,3.38 (1.18-5.9)
对乙烯基愈疮木酚,18,0,3.1592906914444443,1.1028610940412762,3.3971654975,1.285024083,4.977329534,34.91,3.16 ± 1.1,3.4 (1.29-4.98)
丙烯酸,18,0,3.0946083834444447,0.9112249071825621,2.838305022,1.965793774,4.720289567,29.45,3.09 ± 0.91,2.84 (1.97-4.72)
对甲氧基苯酚,18,0,3.0189406829444443,0.9356993015009719,2.8103346795,1.82571077,5.999288248,30.99,3.02 ± 0.94,2.81 (1.83-6)
甲基苯乙酮,18,0,2.9094728910555556,1.6885501875532356,2.3674837245,0.803498982,5.631422244,58.04,2.91 ± 1.69,2.37 (0.8-5.63)
棕榈酸,18,0,2.789369391777778,0.4214347926096915,2.8541884865,1.721464063,3.611021263,15.11,2.79 ± 0.42,2.85 (1.72-3.61)
1-羟基丙-2-基乙酸酯,18,0,2.7089885523333335,0.2843781754731454,2.60524354,2.245878222,3.28903352,10.5,2.71 ± 0.28,2.61 (2.25-3.29)
总钾,18,0,2.6854986613333334,0.8079757218600396,2.7400150605,1.517915663,4.542475904,30.09,2.69 ± 0.81,2.74 (1.52-4.54)
"3-甲氧基-1,2-丙二醇",18,0,2.667569599666667,1.2242923030199215,2.5931658124999997,1.086211012,5.725198945,45.9,2.67 ± 1.22,2.59 (1.09-5.73)
2-环戊烯酮,18,0,2.5902261466666667,0.7108618859347726,2.7808924375,1.338379438,3.495528635,27.44,2.59 ± 0.71,2.78 (1.34-3.5)
氮碱比,18,0,2.5067406507777776,1.3834556037034356,2.314399725,0.882496635,6.666029381,55.19,2.51 ± 1.38,2.31 (0.88-6.67)
2-乙酰基吡咯,18,0,2.3627775473333332,1.05021166312769,1.934420114,1.142605972,4.511229773,44.45,2.36 ± 1.05,1.93 (1.14-4.51)
2-环己烯醇,18,0,2.304196835777778,1.1319698218048495,1.9621834445,0.595341371,4.502967573,49.13,2.3 ± 1.13,1.96 (0.6-4.5)
2-甲基-5-(甲硫基)呋喃,18,0,2.303858706833333,1.4002245000868458,1.979630781,0.648407564,5.575032867,60.78,2.3 ± 1.4,1.98 (0.65-5.58)
两糖差,18,0,2.2908244878333335,1.4947264240710758,1.7071940890000001,0.915623451,6.07000147,65.25,2.29 ± 1.49,1.71 (0.92-6.07)
5-乙酰氧基甲基-2-糠醛,18,0,2.2014630995555557,1.5047432913564909,1.9181360550000002,0.679987868,5.827026643,68.35,2.2 ± 1.5,1.92 (0.68-5.83)
丙二酸,18,0,2.1103811893333333,0.6877789623000716,2.153280938,0.672566068,3.564769155,32.59,2.11 ± 0.69,2.15 (0.67-3.56)
亚油酸,18,0,1.8922895023888888,0.5125381368570505,1.9929482915,0.960718264,2.770183655,27.09,1.89 ± 0.51,1.99 (0.96-2.77)
总氮,18,0,1.7833836068333333,0.5412644397192563,1.7854935195,0.9749501,2.787948207,30.35,1.78 ± 0.54,1.79 (0.97-2.79)
5-甲基-2(5H)-呋喃酮,18,0,1.6372812357222222,0.3123241712572726,1.6050262415,1.152523236,2.355352803,19.08,1.64 ± 0.31,1.61 (1.15-2.36)
草酰胺,18,0,1.4077126447777777,0.5798688959629391,1.377457549,0.659044783,2.423310173,41.19,1.41 ± 0.58,1.38 (0.66-2.42)
棕榈酸甲酯,18,0,1.3545972085,0.6034162127182195,1.2391291495,0.401075895,2.785170262,44.55,1.35 ± 0.6,1.24 (0.4-2.79)
3-甲基-2-(5H)-呋喃酮,18,0,1.3300336894444444,0.2869280609801051,1.3328744765,0.788046853,1.742488679,21.57,1.33 ± 0.29,1.33 (0.79-1.74)
巨豆三烯酮2,18,0,1.2063403868333333,0.34094728548740466,1.152360906,0.644540919,1.961566061,28.26,1.21 ± 0.34,1.15 (0.64-1.96)
尼古丁,18,0,1.024230363,0.7893303744873288,0.8054657525,0.177271946,3.159160156,77.07,1.02 ± 0.79,0.81 (0.18-3.16)
"2,3-二氢-2-甲基苯并呋喃",18,0,0.9854921377222222,0.4968091914947516,0.9306639805,0.398614433,2.323356315,50.41,0.99 ± 0.5,0.93 (0.4-2.32)
两糖比,18,0,0.8910657331666667,0.04912738375833323,0.9120370904999999,0.795198757,0.945491816,5.51,0.89 ± 0.05,0.91 (0.8-0.95)
总氯,18,0,0.8791189227777778,0.5760902540513042,0.973371253,0.100000004,1.777692823,65.53,0.88 ± 0.58,0.97 (0.1-1.78)
二氢猕猴桃内酯,18,0,0.8495714644444444,0.2407740294879404,0.8322808859999999,0.505587527,1.301716333,28.34,0.85 ± 0.24,0.83 (0.51-1.3)
硬脂酸,18,0,0.8312207950555556,0.10449031853102354,0.8339417725,0.620804986,1.047955381,12.57,0.83 ± 0.1,0.83 (0.62-1.05)
龙涎酮,18,0,0.7814447140555556,1.2976548427159538,0.318082035,0.004982388,4.587800681,166.06,0.78 ± 1.3,0.32 (0-4.59)
丙酮,18,0,0.7097134245555555,0.18112318339700528,0.7334155305000001,0.339481044,1.066438208,25.52,0.71 ± 0.18,0.73 (0.34-1.07)
西柏烯,18,0,0.5895978604444444,0.3857271851689401,0.3872428885,0.115364459,1.205819603,65.42,0.59 ± 0.39,0.39 (0.12-1.21)
油酸,18,0,0.5060813068888889,0.19634229563227526,0.5083832485,0.211510323,0.779922718,38.8,0.51 ± 0.2,0.51 (0.21-0.78)
茄酮,18,0,0.4454742913888889,0.21032381517038287,0.45005266850000003,0.188473832,0.920669908,47.21,0.45 ± 0.21,0.45 (0.19-0.92)
3-羟基-β-二氢大马酮,18,0,0.43988285622222223,0.1427572307629715,0.4095467525,0.294047355,0.839325381,32.45,0.44 ± 0.14,0.41 (0.29-0.84)
香叶基丙酮,18,0,0.25867336183333334,0.08034096137800725,0.2227851865,0.137643505,0.416852722,31.06,0.26 ± 0.08,0.22 (0.14-0.42)
巨豆三烯酮,18,0,0.2390936935,0.14019685339116364,0.20965902749999998,0.104907294,0.588623954,58.64,0.24 ± 0.14,0.21 (0.1-0.59)
氧化紫罗兰酮,18,0,0.15826453155555556,0.034258896434114304,0.16537354250000003,0.10029419,0.208045163,21.65,0.16 ± 0.03,0.17 (0.1-0.21)
beta-紫罗兰酮,18,0,0.12491019233333334,0.041930952614878385,0.1159737445,0.06510419,0.208674973,33.57,0.12 ± 0.04,0.12 (0.07-0.21)
莨菪亭,10,8,0.010959692333333333,0.016935311580718475,0.0034211235,0,0.060246342,154.52,0.01 ± 0.02,0 (0-0.06)
