Display_Name,P_Value,Significance,Statistic,Computational_Name
脯氨酸,2.720740061677439e-6,***,25.629213266329536,脯氨酸
芸香苷,7.452164026604108e-6,***,23.614012188764697,芸香苷
草酸,1.5126323073002306e-5,***,22.198148163944367,草酸
葡萄糖,2.3685411149070445e-5,***,21.301302525380883,葡萄糖
蔗糖,2.8543829968523386e-5,***,20.928139516809292,蔗糖
绿原酸,3.06016684306658e-5,***,20.78891205322869,绿原酸
尼可他因,4.085537073900236e-5,***,20.21094454132263,尼可他因
异戊酰胺,5.0576641079717976e-5,***,19.784041453999148,异戊酰胺
二氢猕猴桃内酯2,1.0788913967410477e-4,***,18.268812685070202,二氢猕猴桃内酯2
果糖,1.3677000296738234e-4,***,17.79441970674933,果糖
还原糖,1.9052712540536967e-4,***,17.131431965909453,还原糖
糖碱比,2.473635923446332e-4,***,16.609302539864036,糖碱比
总糖,2.986305688383654e-4,***,16.232606608452816,总糖
DDMP,5.340132122893748e-4,***,15.070179954390452,DDMP
油酸,6.050748261742221e-4,***,14.820316855908628,油酸
麦司明,0.001103144855437616,**,13.619180437482072,麦司明
两糖差,0.0011932043272531267,**,13.46222575747056,两糖差
beta-紫罗兰酮,0.0013006160927414143,**,13.289834418569356,beta.紫罗兰酮
尼古丁2,0.0014298749355762257,**,13.100336592347933,尼古丁2
苯乙醇,0.0014333666876182735,**,13.095458549580258,苯乙醇
菠萝呋喃酮,0.001616347658361881,**,12.855172413793099,菠萝呋喃酮
吡咯,0.0020576756869186206,**,12.372356481039247,吡咯
三羟基丁酸,0.002402588585929037,**,12.062417090809152,三羟基丁酸
棕榈酸,0.005931514662381972,**,10.254951349828787,棕榈酸
柠檬酸2,0.0063405010610576885,**,10.12159496388655,柠檬酸2
吲哚,0.006638640569502866,**,10.02969613992633,吲哚
苯甲醇,0.007742070120206337,**,9.722172339499707,苯甲醇
丙酸,0.008269743187764552,**,9.590303647806735,丙酸
柠檬酸,0.00995454683306417,**,9.219451728085259,柠檬酸
5-甲基糠醛,0.011619204404104369,*,8.910191995415062,X5.甲基糠醛
丙二酸,0.012497379138820304,*,8.764472651103706,丙二酸
巨豆三烯酮,0.012892234381325016,*,8.702260269649193,巨豆三烯酮
3-甲基-2-环戊烯酮,0.01367616849007649,*,8.584200974305077,X3.甲基.2.环戊烯酮
尼古丁,0.013728306987658775,*,8.576590748663858,尼古丁
"2,3-二甲基-2-环戊烯酮",0.014581971403835235,*,8.455938697317976,X2.3.二甲基.2.环戊烯酮
糠醛,0.015956777797199586,*,8.275743199499061,糠醛
3-甲基吲哚,0.01838008337385856,*,7.992975251892711,X3.甲基吲哚
4-乙烯基愈创木酚,0.020393266768329255,*,7.7851009859797955,X4.乙烯基愈创木酚
2-环戊烯酮,0.020545252293594204,*,7.770250793347543,X2.环戊烯酮
肌醇,0.02059609203596184,*,7.765307856350786,肌醇
1-茚酮,0.02093280517738944,*,7.732875449747741,X1.茚酮
"2,6-二甲基苯酚",0.02093972019711758,*,7.7322148715066,X2.6.二甲基苯酚
二氢猕猴桃内酯,0.02186608803287133,*,7.645636667923396,二氢猕猴桃内酯
喹啉,0.02524747567907861,*,7.35805820272842,喹啉
"2,3'-联吡啶",0.025527752393004807,*,7.33597817896225,X2.3..联吡啶
乙酸,0.026165428934483387,*,7.286632491695059,乙酸
总氮,0.026997994540848756,*,7.2239853840025745,总氮
亚油酸,0.03210293785639797,*,6.877615462055766,亚油酸
糠醇,0.03517922975513821,*,6.694598868617419,糠醇
乳酸,0.04279910482291031,*,6.302476183931356,乳酸
3-甲基戊酸,0.045769016721640965,*,6.168295815158018,X3.甲基戊酸
香叶基丙酮,0.05978548511876841,ns,5.633984742508293,香叶基丙酮
丁香酚,0.06770394440164694,ns,5.3852216756242655,丁香酚
2-甲基吡嗪,0.07315374604653241,ns,5.230383884696607,X2.甲基吡嗪
尼古丁3,0.0768794059459841,ns,5.131034482758594,尼古丁3
巨豆三烯酮2,0.08354275805977035,ns,4.964793411235291,巨豆三烯酮2
γ-丁内酯,0.08486853999540904,ns,4.933303615966679,γ.丁内酯
2-吡咯烷酮,0.09373976735935903,ns,4.734465536511097,X2.吡咯烷酮
两糖比,0.12649259307416907,ns,4.13514305060442,两糖比
2-甲基吡啶,0.1285834009366548,ns,4.102355101304369,X2.甲基吡啶
钾氯比,0.13530943122461203,ns,4.000382080427926,钾氯比
乙基环戊烯醇酮,0.13568664243083456,ns,3.9948143030833903,乙基环戊烯醇酮
莨菪亭,0.1499376787729835,ns,3.795071092132492,莨菪亭
甲基环戊烯醇酮,0.15416320339021056,ns,3.739486950892058,甲基环戊烯醇酮
二羟基丙酸,0.15440692338244527,ns,3.736327603673781,二羟基丙酸
3-羟基-6-甲基吡啶,0.17110407554948345,ns,3.530966557349217,X3.羟基.6.甲基吡啶
3-乙基吡啶,0.1760543550811343,ns,3.4739249918712938,X3.乙基吡啶
3-乙基-2-环戊烯酮,0.1928022281983215,ns,3.292180679654476,X3.乙基.2.环戊烯酮
新植二烯2,0.21858615698030137,ns,3.0411500620880645,新植二烯2
邻甲酚,0.23287000082802745,ns,2.914549834962486,邻甲酚
3-氧代-α-紫罗兰醇,0.24243232773590706,ns,2.8340653368643807,X3.氧代.α.紫罗兰醇
3-羟基-β-二氢大马酮2,0.24879311000588397,ns,2.7822672228059275,X3.羟基.β.二氢大马酮2
异丁香酚,0.2492166022273634,ns,2.778865744375637,异丁香酚
总氯,0.2752564498027538,ns,2.5801041422559714,总氯
苹果酸,0.28510548688989074,ns,2.509792075512553,苹果酸
麦芽酚,0.28579611011105416,ns,2.504953248214292,麦芽酚
氮碱比,0.2860031154577295,ns,2.5035051500255414,氮碱比
硬脂酸,0.3052491704886188,ns,2.373253766954035,硬脂酸
苯酚,0.32716410471037066,ns,2.2345867694038475,苯酚
吡啶,0.340590960288877,ns,2.154146103310296,吡啶
3-氧代-α-紫罗兰醇2,0.3905442635992835,ns,1.8804279300792643,X3.氧代.α.紫罗兰醇2
降茄二酮,0.4530387021002095,ns,1.5835554440973465,降茄二酮
氧化紫罗兰酮,0.46089202905353316,ns,1.549182947426053,氧化紫罗兰酮
γ-巴豆酰内酯,0.5244007462723005,ns,1.2909982079923183,γ.巴豆酰内酯
甘油,0.5750321787366159,ns,1.1066585534609126,甘油
乙酰基吡咯,0.582128483264692,ns,1.0821281879835567,乙酰基吡咯
茄酮,0.5990963568212196,ns,1.024665661994022,茄酮
叶黄素,0.6011162678550378,ns,1.0179338116557435,叶黄素
间甲酚,0.6406553006170786,ns,0.8905274384993673,间甲酚
丁酸,0.6529849709602851,ns,0.8524023306906372,丁酸
总钾,0.6647745237097251,ns,0.8166147158229378,总钾
"2,6-二甲氧基苯酚",0.7148951088965113,ns,0.6712388957875817,X2.6.二甲氧基苯酚
胡萝卜素,0.8331967942718309,ns,0.36497083418424586,胡萝卜素
苹果酸2,0.8386340859102099,ns,0.35196159772658686,苹果酸2
